GeneID,gene_product
DDB_G0290199,Gcn5-related N-acetyltransferase
DDB_G0278243,G8 domain-containing protein
DDB_G0285413,zinc finger protein 511
DDB_G0282707,EGF-like domain-containing protein
DDB_G0269440,integrator complex subunit 14
DDB_G0290555,WD repeat-containing protein 74
DDB_G0270700,EGF-like domain-containing protein
DDB_G0282565,FNIP repeat-containing protein
DDB_G0285985,TMEM164 family protein
DDB_G0281609,Asl1-like glycosyl hydrolase catalytic domain-containing protein
DDB_G0290147,large ribosomal subunit protein uL30
DDB_G0290335,FNIP repeat-containing protein
DDB_G0279707,counting factor associated protein A/B/C-related protein
DDB_G0348940,EngB-type G domain-containing protein
DDB_G0273851,counting factor associated protein A/B/C-related protein
DDB_G0290977,transmembrane protein
DDB_G0291758,UNC93-like protein 3 family protein
DDB_G0290505,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0307042,EGF-like domain-containing protein
DDB_G0280613,FNIP repeat-containing protein
DDB_G0270540,FNIP repeat-containing protein
DDB_G0287251,G-patch domain-containing protein
DDB_G0288971,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
DDB_G0289889,alpha/beta hydrolase fold domain-containing protein
DDB_G0285083,transmembrane protein
DDB_G0284645,putative transmembrane protein
DDB_G0287989,required for meiotic nuclear division protein 1 homolog
DDB_G0267632,AB hydrolase-1 domain-containing protein
DDB_G0292812,EGF-like domain-containing protein
DDB_G0272849,EGF-like domain-containing protein
DDB_G0274651,receptor polysaccharide phosphotransferase Stealth family
DDB_G0274149,EGF-like domain-containing protein
DDB_G0271602,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0287003,solute carrier family 35 member protein
DDB_G0284637,FNIP repeat-containing protein
DDB_G0275997,FNIP repeat-containing protein
DDB_G0286677,EGF-like domain-containing protein
DDB_G0293444,transmembrane protein 181 family protein
DDB_G0276675,CDAN1-interacting nuclease 1
DDB_G0273049,putative cell surface glycoprotein
DDB_G0291720,UNC93-like protein MFSD11 ortholog
DDB_G0279587,protein cholesin homolog
DDB_G0274637,FNIP repeat-containing protein
DDB_G0284511,counting factor associated protein A/B/C-related protein
DDB_G0281243,DNA/RNA-binding protein Alba-like domain-containing protein
DDB_G0292284,B box-type domain-containing protein
