GeneID,gene_description
DDB_G0271692,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0278243,predicted to have a signal sequence and extracellular domain
DDB_G0285413,ortholog of human. ZNF511
DDB_G0287187,has similarity to PANTHER polyketide synthase and fatty acid synthase family
DDB_G0282707,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0269440,ortholog of human INTS14
DDB_G0290555,ortholog of human WDR74
DDB_G0270700,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0289687,has similarity to ankyrin repeats
DDB_G0285985,predicted to have 7 transmembrane regions
DDB_G0281609,predicted to have a signal peptide and an extracellular domain
DDB_G0278029,predicted to have one transmembrane domain
DDB_G0279707,predicted to have a signal peptide and an extracellular domain
DDB_G0273851,predicted to have a signal peptide and an extracellular domain
DDB_G0290977,predicted to have eight transmembrane domains; has similarity to GATA zinc finger domain-containing proteins
DDB_G0291758,predicted to have 12 transmembrane domains
DDB_G0307042,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0293402,predicted to have a signal peptide and an extracellular domain
DDB_G0285083,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0284645,predicted to have one transmembrane domain
DDB_G0271228,has similarity to SAP domain-containing proteins
DDB_G0287989,orthlogo of human RMND1; predicted to have one transmembrane domain
DDB_G0292812,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0272849,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0274651,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0271214,has similarity to SAP domain-containing proteins
DDB_G0347658,predicted to have two transmembrane domains
DDB_G0274149,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0287003,predicted to have 10 transmembrane domains
DDB_G0286677,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0293444,predicted to have 8 transmembrane domains
DDB_G0276675,ortholog of human CDIN1
DDB_G0283481,predicted to have a signal peptide and an extracellular domain
DDB_G0273049,predicted to have a signal peptide and an extracellular domain
DDB_G0291720,ortholog of human MFSD11; predicted to have 12 transmembrane domains
DDB_G0289157,cell density-sensing factor; has similarity to geranylgeranyl reductase family
DDB_G0279587,homolog of human CHLSN
DDB_G0273681,has similarity to B box-type domain-containing protein
DDB_G0284511,predicted to have a signal peptide and an extracellular domain
DDB_G0268188,has similarity to B box-type domain-containing protein
DDB_G0285609,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0278235,has similarity to F-box domain-containing proteins
DDB_G0290253,predicted to have 13 transmembrane domains
DDB_G0285049,predicted to have 4 transmembrane domains; similarity to PANTHER family integrator complex-associated protein
DDB_G0293244,ortholog of yeast TRM2
DDB_G0293448,predicted to have two transmembrane domains
DDB_G0273391,has similarity to PANTHER family Mediator complex subunit 12
DDB_G0269452,has similarity to PANTHER monoglucosyldiacylglycerol epimerase family
DDB_G0267938,has similarity to PANTHER B Box-type domain-containing protein family
DDB_G0290259,predicted to have a signal peptide and an extracellular domain
DDB_G0284341,ortholog of human ETFRF1
DDB_G0285459,predicted to have a signal peptide and an extracellular domain
DDB_G0281931,has similarity to a family of plant receptor-like serine/threonine kinases; predicted to have 9 transmembrane domains
DDB_G0291490,ortholog of human PIGT
DDB_G0284281,has similarity to PANTHER family Mediator complex subunit 12; predicted to have one transmembrane domain
DDB_G0286947,has similarity to ankyrin repeats
DDB_G0289399,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0278265,predicted to have 12 transmembrane domains
DDB_G0285667,predicted to have 10 transmembrane domains
DDB_G0277431,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0267530,predicted to have 3 transmembrane domains
DDB_G0289209,predicted to have a signal peptide and an extracellular domain
DDB_G0268108,predicted to have a signal peptide and an extracellular domain
DDB_G0267470,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0271430,has similarity to SAP domain-containing proteins
DDB_G0277443,has similarity to SAP domain-containing proteins
DDB_G0289011,ortholog of human RAB5IF; predicted to have 3 transmembrane domains
DDB_G0277447,has similarity to SAP domain-containing proteins
DDB_G0288497,has similarity to B box-type domain-containing protein
DDB_G0290257,predicted to have a signal peptide and an extracellular domain
DDB_G0270046,similarity to zinc binding domain-containing proteins
DDB_G0293378,ortholog of human TMX3; predicted to have a signal sequence and extracellular domain
DDB_G0283743,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0283993,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0295701,has similarity to a family of proteins involved in differentiation and development
DDB_G0287427,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0277179,ortholog of human RUSF1; predicted to have 6 transmembrane domains
DDB_G0284649,has similarity to PANTHER family prespore vesicle-associated protein
DDB_G0281853,predicted to have a signal peptide and an extracellular domain
DDB_G0269760,predicted to have two transmembrane domains
DDB_G0283497,"subunit of the TRAP complex aids in the translocation of nascent polypeptides into the lumen of the endoplasmic reticulum; predicted to have a signal sequence, extracellular domain and a transmembrane domain"
DDB_G0285113,ortholog of human AP5M1
DDB_G0283995,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0280117,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0282839,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0273299,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0292188,has similarity to a PANTHER family of proteins involved in immune response modulation
DDB_G0286979,predicted to have 12 transmembrane domains
DDB_G0285669,predicted to have 10 transmembrane domains
DDB_G0275247,has similarity to F-box domain-containing proteins
DDB_G0292630,predicted to have a signal peptide and an extracellular domain
DDB_G0272670,has similarity to SAP domain-containing proteins
DDB_G0285151,predicted to have one transmembrane domain
DDB_G0274173,predicted to have a signal peptide and an extracellular domain
DDB_G0278919,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0293644,PH domain-containing protein
DDB_G0275553,predicted to have a signal peptide and an extracellular domain
DDB_G0278659,has similarity to ankyrin repeats
DDB_G0286709,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0291888,predicted to have 10 transmembrane regions
DDB_G0285493,ortholog of human TAF8
DDB_G0291908,ortholog of human THUMPD1
DDB_G0271358,predicted to have two transmembrane domains
DDB_G0289161,ortholog of human ACOT13
DDB_G0285409,has similarity to an aluminum-activated malate transporter and a family of proteins possibly involved in intracellular vesicle transport; predicted to have 12 transmembrane domains
DDB_G0281141,has similarity to PANTHER AAA_23 domain-containing protein family
DDB_G0285385,predicted to have 4 transmembrane domains
DDB_G0270290,predicted to have a signal peptide and an extracellular domain
DDB_G0279985,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276959,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0272052,predicted to have a signal peptide and an extracellular domain
DDB_G0289759,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0279143,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0286853,predicted to have a signal peptide and an extracellular domain
DDB_G0268314,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0279571,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
